author_name,gender,country,continent,city_birth,city_residence,language,year_birth,year_death,work1,work2,awards,time period,bio,list_url,list_title,list_bookname,list_copy
Romain Rolland,Male,France,Europe,"Clamecy, France","Vezelay, France",French,1866,1944,Jean-Christophe in Paris,The Enchanted Soul,Nobel Prize,19th Century; 20th Century,"Romain Rolland was a French dramatist, novelist, essayist, art historian and mystic who was awarded the Nobel Prize for Literature in 1915 ""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings"".",,,,
H.G. Wells,Male,United Kingdom,Europe,"Kent, UK","London, UK",English,1866,1946,The Invisible Man,The Time Machine,,19th Century; 20th Century,"Herbert George Wells was an English writer, prolific in many genres. He wrote more than fifty novels and dozens of short stories, as well as works of social commentary, politics, history, satire, biography, and autobiography. Wells' has been called the ""father of science fiction"".",,,,
Luigi Pirandello,Male,Italy,Europe,"Agrigento, Italy","Rome, Italy",Italian,1867,1936,Six Characters in Search of an Author,The Outcast,Nobel Prize,19th Century; 20th Century,"Luigi Pirandello was an Italian dramatist, novelist, poet, and short story writer whose greatest contributions were his plays. He was awarded the 1934 Nobel Prize in Literature ""for his bold and ingenious revival of dramatic and scenic art"".",,,,
Rubén Darío,Male,Nicaragua,Latin America,"Matagalpa, Nicaragua","Leon, Nicaragua",Spanish,1867,1916,Margarita ,Sonatina,,19th Century; 20th Century,"Félix Rubén García Sarmiento, known as Rubén Darío, was a Nicaraguan poet who initiated the Spanish-language literary movement known as modernismo that flourished at the end of the 19th century.",,,,
John Galsworthy,Male,United Kingdom,Europe,"London, UK","London, UK",English,1867,1933,The Forsyte Saga,The Man of Property,Nobel Prize,19th Century; 20th Century,"John Galsworthy was an English novelist and playwright. He is best known for his trilogy of novels collectively called The Forsyte Saga, and two later trilogies, A Modern Comedy and End of the Chapter.",,,,
Andre Gide,Male,France,Europe,"Paris, France","Paris, France",French,1869,1951,The Counterfeiters,The Immoralist,Nobel Prize,19th Century; 20th Century,"André Paul Guillaume Gide was a prolific French writer and author whose writings spanned a wide variety of styles and topics. The author of more than fifty books, he was described in his obituary as ""France's greatest contemporary man of letters"" and won the 1947 Nobel Prize in Literature.",,,,
Ivan Bunin,Male,Russia,Europe,"Voronezh, Russia","Paris, France",Russian,1870,1953,The Gentleman from San Francisco,Dark Avenues,,19th Century; 20th Century,Ivan Alekseyevich Bunin was the first Russian writer awarded the Nobel Prize in Literature in 1933. He was noted for the strict artistry with which he carried on the classical Russian traditions in the writing of prose and poetry.,,,,
Marcel Proust,Male,France,Europe,"Auteuil, France","Paris, France",French,1871,1922,In Search of Lost Time,Swann's Way,,19th Century; 20th Century,"Valentin Louis Georges Eugène Marcel Proust was a French novelist, literary critic, and essayist who wrote the monumental novel À la recherche du temps perdu which was published in seven volumes between 1913 and 1927.",,,,
Grazia Deledda,Female,Italy,Europe,"Nuoro, Italy","Rome, Italy",Italian,1871,1936,The Mother,After the Divorce,Nobel Prize,19th Century; 20th Century,"Grazia Maria Cosima Damiana Deledda was an Italian writer who received the Nobel Prize for Literature in 1926 ""for her idealistically inspired writings which with plastic clarity picture the life on her native island, Sardinia"".",,,,
Bertrand Russell,Male,United Kingdom,Europe,"Monmouthshire, UK","Wales, UK",English,1872,1970,A History of Western Philosophy,The Problems of Philosophy,Nobel Prize,20th Century,"Bertrand Arthur William Russell was a British philosopher, logician, mathematician, and public intellectual. He had influence on mathematics, logic and literature, wrote over 60 books and won the Nobel Prize for Literature in 1950.",,,,
Colette,Female,France,Europe,"Burgundy, France","Paris, France",French,1873,1954,Gigi,The Other Woman,,20th Century,"Sidonie-Gabrielle Colette, known mononymously as Colette, was a French author and woman of letters. She was also a mime, actress, and journalist.",https://www.hammockmag.com/recommendations-lists/six-novels-set-in-the-world-of-theater,Six Novels in the World of Theater,The Vagabond,"A French classic that was translated to English and rediscovered in recent times, The Vagabond is an autofictional account of Colette’s life. It follows recently divorced Renee trying to make her new life as a music hall artist, an activity adjacent to the theater in early twentieth century France. Though it’s over a century old, the book feels contemporary in its tale of a woman’s struggle to choose between work, security and love."
Ford Madox Ford,Male,United Kingdom,Europe,"London, UK","Normandy, France",English,1873,1939,The Good Soldier,The Fifth Queen,,19th Century; 20th Century,"Ford Madox Ford was an English novelist, poet, critic and editor whose journals The English Review and The Transatlantic Review were important in the development of early 20th-century English and American literature.",,,,
Willa Cather,Female,USA,North America,"Virginia, USA","New York, USA",English,1873,1947,My Ántonia,O Pioneers!,Pulitzer Prize,20th Century,Willa Sibert Cather was an American writer known for her novels of life on the Great Plains. Common themes in her work include nostalgia and exile. ,,,,
W. Somerset Maugham,Male,United Kingdom,Europe,"Paris, France","Nice, France",English,1874,1965,The Razor's Edge,The Painted Veil,,19th Century; 20th Century,"William Somerset Maugham was an English writer, known for his plays, novels and short stories. Born in Paris, where he spent his first ten years, Maugham was schooled in England and went to a German university. He became a medical student in London and qualified as a physician in 1897.",https://www.hammockmag.com/recommendations-lists/a-selection-of-parisian-classics,A Selection of Parisian Classics,Of Human Bondage,"In so many ways, Of Human Bondage remains one of the earliest autofiction novels and follows the life of a tormented orphan with a clubfoot, Philip Carey, who grows into a suggestible young man with a voracious appetite for adventure and knowledge. His cravings take him to Paris at age eighteen to try his hand at art, then back to London to study medicine. Nothing can satiest his nagging hunger for experience, and his obsessive love affair with a cold and unfeeling waitress changes his life forever."
Rainer Maria Rilke,Male,Austria,Europe,"Prague, Czechia","Montreux, Switzerland",German,1875,1926,Letters to A Young Poet,Stories of God,,19th Century; 20th Century,"René Karl Wilhelm Johann Josef Maria Rilke, known as Rainer Maria Rilke, was an Austrian poet and novelist. Acclaimed as an idiosyncratic and expressive poet, he is widely recognized as a significant writer in the German language.",,,,
Thomas Mann,Male,Germany,Europe,"Lübeck, Germany","Kilchberg, Switzerland",German,1875,1955,Death in Venice,The Magic Mountain,Nobel Prize,19th Century; 20th Century,"Paul Thomas Mann was a German novelist, short story writer, social critic, philanthropist, essayist, and the 1929 Nobel Prize in Literature laureate. His highly symbolic and ironic epic novels and novellas are noted for their insight into human psychology.",,,,
Hermann Hesse,Male,Germany,Europe,"Calw, Germany","Montagnola, Switzerland",German,1877,1962,Siddhartha,Demian,Nobel Prize,20th Century,"Hermann Karl Hesse was a German-Swiss poet, novelist, and painter. Although Hesse was born in Germany's Black Forest region of Swabia, his father's celebrated heritage as a Baltic German and his grandmother's French-Swiss roots had an intellectual influence on him.",,,,
Robert Walser,Male,Switzerland,Europe,"Biel, Switzerland","Herisau, Switzerland",German,1878,1956,Jakob von Gunten,Microscripts,,20th Century,"Robert Walser was a German language Swiss writer. He additionally worked as a copyist, an inventor's assistant, a butler, and in various other low-paying trades.",,,,
E.M. Forster,Male,United Kingdom,Europe,"London, UK","Coventry, UK",English,1879,1970,A Passage to India,A Room With A View,,20th Century,"Edward Morgan Forster was an English author who wrote novels, short stories, essays, speeches and broadcasts, as well as a limited number of biographies and plays.",,,,
Robert Musil,Male,Austria,Europe,"Klagenfurt, Austria","Geneva, Switzerland",German,1880,1942,The Man Without Qualities,The Confusions of Young Torless,,20th Century,Robert Musil was an Austrian philosophical writer. The Man Without Qualities is generally considered to be one of the most important and influential modernist novels.,,,,
Munshi Premchand,Male,India,Asia,"Varanasi, India","Varanasi, India",Hindi,1880,1936,Nirmala,Rangbhoomi,,20th Century,"Dhanpat Rai Srivastava, better known as Munshi Premchand based on his pen name Premchand, was an Indian writer famous for his modern Hindustani literature. Premchand was a pioneer of Hindi and Urdu social fiction.",,,,
Stefan Zweig,Male,Austria,Europe,"Vienna, Austria","Petrópolis, Brazil",German,1881,1942,Chess,Fantastic Night,,20th Century,"Stefan Zweig was an Austrian writer. At the height of his literary career, in the 1920s and 1930s, he was one of the most widely translated and popular writers in the world.",,,,
Roger Martin DuGard,Male,France,Europe,"Paris, France","Serigny, France",French,1881,1958,The Thibaults,The Postman,Nobel Prize,20th Century,"Roger Martin DuGard was a French novelist, winner of the 1937 Nobel Prize in Literature. Trained as a paleographer and archivist, he brought to his works a spirit of objectivity and a scrupulous regard for detail.",,,,
James Joyce,Male,Ireland,Europe,"Dublin, Ireland","Zurich, Switzerland",English,1882,1941,Ulysses,A Portrait of the Artist As A Young Man,,20th Century,"James Augustine Aloysius Joyce was an Irish novelist, poet and literary critic. He contributed to the modernist avant-garde movement and is regarded as one of the most influential and important writers of the 20th century.",,,,
Sigrid Undset,Female,Norway,Europe,"Kalundborg, Denmark","Lillehammer, Norway",Norwegian,1882,1949,Kristin Lavransdatter,The Wreath,Nobel Prize,20th Century,"Sigrid Undset was a Danish-born Norwegian novelist. She was awarded the Nobel Prize for Literature in 1928. Born in Denmark and raised in Norway, Undset had her first books of historical fiction published in 1907.",,,,
Virginia Woolf,Female,United Kingdom,Europe,"London, UK","Sussex, UK",English,1882,1941,Mrs. Dalloway,To the Lighthouse, ,20th Century,"Adeline Virginia Woolf was an English writer. She is considered one of the most important modernist 20th-century authors, who pioneered the use of stream of consciousness as a narrative device.",https://www.hammockmag.com/recommendations-lists/a-classic-queer-reading-list,A Classic Queer Reading List,Orlando,"Orlando, which Virginia Woolf wrote as a tribute to friend and lover Vita Sackville-West, is a study in gender fluidity across time and space. The eponymous protagonist starts as a young nobleman in Elizabethan England, finding favour with the queen, then falling out with her and indulging liberally in sex with a variety of women, while having an intense friendship with a male poet."
Franz Kafka,Male,Czechia,Europe,"Prague, Czechia","Prague, Czechia",German,1883,1924,The Trial,The Castle,,20th Century,Franz Kafka was an Austrian-Czech novelist and writer from Prague. He is widely regarded as a major figure of 20th-century literature; he wrote in German. His work fuses elements of realism and the fantastic.,,,,
Nikos Karantzakis,Male,Greece,Europe,"Crete, Greece","Antibes, France",Greek,1883,1957,Zorba the Greek,Freedom or Death,,20th Century,"Nikos Kazantzakis was a Greek writer, journalist, politician, poet and philosopher. Widely considered a giant of modern Greek literature, he was nominated for the Nobel Prize in Literature in nine different years, and remains the most translated Greek author worldwide.",,,,
Romulo Gallegos,Male,Venezuela,Latin America,"Caracas, Venezuela","Caracas, Venezuela",Spanish,1884,1969,Dona Barbara,Canaima,,20th Century,"Rómulo Ángel del Monte Carmelo Gallegos Freire was a Venezuelan novelist and politician. For a period of nine months during 1948, he governed as the first freely elected president in Venezuela's history.",,,,
Francois Mauriac,Male,France,Europe,"Bordeaux, France","Paris, France",French,1885,1970,The Desert of Love,Viper's Triangle,Nobel Prize,20th Century,"François Charles Mauriac was a French novelist, dramatist, critic, poet, and journalist, a member of the Académie française, and laureate of the Nobel Prize in Literature.",,,,
D.H. Lawrence,Male,United Kingdom,Europe,"Nottingham, UK","Vence, France",English,1885,1930,Sons and Lovers,Lady Chatterley's Lover,,20th Century,"David Herbert Lawrence was an English novelist, short story writer, poet, playwright, literary critic, travel writer, essayist, and painter. His modernist works reflect on modernity, social alienation and industrialization, while championing sexuality, vitality and instinct.",,,,
Sinclair Lewis,Male,USA,North America,"Minneapolis, USA","New York, USA",English,1885,1951,Main Street,Babbitt,Nobel Prize,20th Century,"Harry Sinclair Lewis was an American novelist, short-story writer, and playwright. In 1930, he became the first author from the United States to receive the Nobel Prize in Literature.",,,,
Hermann Broch,Male,Austria,Europe,"Vienna, Austria","New Haven, USA",German,1886,1951,The Sleepwalkers,The Death of Virgil,,20th Century,"Hermann Broch was an Austrian writer, best known for his major works of modernist fiction.",,,,
Saint-John Perse,Male,France,Europe,Guadeloupe,"Provence, France",French,1887,1975,Eloges,Amers,Nobel Prize,20th Century,"Alexis Leger, better known by his pseudonym Saint-John Perse, was a French poet, writer and diplomat, awarded the 1960 Nobel Prize in Literature ""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time"".",,,,
Frans Eemil Sillanpää,Male,Finland,Europe,"Pirkanmaa, Finland","Helsinki, Finland",Finnish,1888,1964,Meek Heritage,The Maid Silja,Nobel Prize,20th Century,"Frans Eemil Sillanpää was a Finnish writer. In 1939, he became the first Finnish writer to be awarded the Nobel Prize for Literature ""for his deep understanding of his country's peasantry and the exquisite art with which he portrayed their way of life"".",,,,
Fernando Pessoa,Male,Portugal,Europe,"Lisbon, Portugal","Lisbon, Portugal",Portuguese,1888,1935,The Book of Disquiet,Message,,20th Century,"Fernando António Nogueira de Seabra Pessoa was a Portuguese poet, writer, literary critic, translator, and publisher. He has been described as one of the most significant literary figures of the 20th century and one of the greatest poets in the Portuguese language.",,,,
Raymond Chandler,Male,USA,North America,"Chicago, USA","La Jolla, USA",English,1888,1959,The Big Sleep,"Farewell, My Lovely",,20th Century,"Raymond Thornton Chandler was an American-British novelist and screenwriter. In 1932, Chandler became a detective fiction writer after losing his job as an oil company executive during the Great Depression.",,,,
Gabriela Mistral,Female,Chile,Latin America,"Vicuña, Chile","New York, USA",Spanish,1889,1957,Poem of Chile,Sonnets of Death,Nobel Prize,20th Century,"Lucila Godoy Alcayaga, known by her pseudonym Gabriela Mistral, was a Chilean poet-diplomat, educator, and Catholic.",,,,
Victoria Ocampo,Female,Argentina,Latin America,"Buenos Aires, Argentina","Beccar, Argentina",Spanish,1890,1979,From Francesca to Beatrice,The Archipelago,,20th Century,"Ramona Victoria Epifanía Rufina Ocampo CBE was an Argentine writer and intellectual. Best known as an advocate for others and as publisher of the literary magazine Sur, she was also a writer and critic in her own right and one of the most prominent South American women of her time.",,,,
Claude McKay,Male,Jamaica,North America,"Clarendon, Jamaica","Chicago, USA",English,1890,1948,Home to Harlem,If We Must Die,,20th Century,"Festus Claudius ""Claude"" McKay was a Jamaican-American writer and poet. He was a central figure in the Harlem Renaissance. Born in Jamaica, McKay first travelled to the United States to attend college.",,,,
Boris Pasternak,Male,Russia,Europe,"Moscow, Russia","Peredelkino, Russia",Russian,1890,1960,Doctor Zhivago,Safe Conduct,Nobel Prize,20th Century,"Boris Leonidovich Pasternak was a Russian poet, novelist, composer, and literary translator. Composed in 1917, Pasternak's first book of poems, My Sister, Life, was published in Berlin in 1922 and soon became an important collection.",,,,
Jean Rhys,Female,United Kingdom,Europe,"Roseau, Dominica","Devon, UK",English,1890,1979,Wide Sargasso Sea,Voyage in the Dark,,20th Century,"Jean Rhys was a British novelist who was born and grew up in the Caribbean island of Dominica. From the age of 16, she resided mainly in England, where she was sent for her education. She was considered one of the finest twentieth century novelists. ",,,,
Mikhail Bulgakov,Male,Russia,Europe,"Kiev, Ukraine","Moscow, Russia",Russian,1891,1940,The Master and Margarita,Heart of a Dog,,19th Century; 20th Century,"Mikhail Afanasyevich Bulgakov was a Russian writer, medical doctor, and playwright. He is best known for his novel The Master and Margarita, published posthumously, which has been called one of the masterpieces of the 20th century.",,,,
Pär Lagerkvist,Male,Sweden,Europe,"Växjö, Sweden","Stockholm, Sweden",Swedish,1891,1974,Barabbas,The Dwarf,Nobel Prize,20th Century,"Pär Fabian Lagerkvist was a Swedish author who received the 1951 Nobel Prize in Literature. Lagerkvist wrote poetry, plays, novels, short stories, and essays of considerable expressive power and influence.",,,,
Henry Miller,Male,USA,North America,"New York, USA","Los Angeles, USA",English,1891,1980,Tropic of Cancer,Nexus,,20th Century,"Henry Valentine Miller was an American novelist, short story writer and essayist. He broke with existing literary forms and developed a new type of semi-autobiographical novel that blended character study, social criticism, philosophical reflection, stream of consciousness, sex and mysticism.",,,,
Ivo Andric,Male,Bosnia,Europe,"Travnik, Bosnia","Belgrade, Serbia",Serbo-Croatian,1892,1975,The Bridge on the Drina,The Woman from Sarajevo,Nobel Prize,20th Century,"Ivo Andrić was a Yugoslav novelist, poet and short story writer who won the Nobel Prize in Literature in 1961. His writings dealt mainly with life in his native Bosnia under Ottoman rule.",,,,
Walter Benjamin,Male,Germany,Europe,"Berlin, Germany","Girona, Spain",German,1892,1940,Arcades Project ,The Work of Art in the Age of Mechanical Reproduction,,20th Century,"Walter Bendix Schönflies Benjamin was a German-Jewish philosopher, cultural critic, media theorist, and essayist.",,,,
César Vallejo,Male,Peru,Latin America,"Santiago de Chuco, Peru","Paris, France",Spanish,1892,1938,Human Poems ,Trilce,,20th Century,"César Abraham Vallejo Mendoza was a Peruvian poet, writer, playwright, and journalist. Although he published only two books of poetry during his lifetime, he is considered one of the great poetic innovators of the 20th century in any language.",,,,
Pearl Buck,Female,USA,North America,"West Virginia, USA","Vermont, USA",English,1892,1973,The Good Earth,Dragon Seed,Nobel Prize; Pulitzer Prize,20th Century,"Pearl Comfort Sydenstricker Buck was an American writer and novelist.  1938, Buck became the first American woman to win the Nobel Prize in Literature ""for her rich and truly epic descriptions of peasant life in China"" and for her ""masterpieces"", two memoir-biographies of her missionary parents.",,,,
Mario de Andrade,Male,Brazil,Latin America,"Sao Paulo, Brazil","Sao Paulo, Brazil",Portuguese,1893,1945,Macunaima,Hallucinated City,,20th Century,"Mário Raul de Morais Andrade was a Brazilian poet, novelist, musicologist, art historian and critic, and photographer. He wrote one of the first and most influential collections of modern Brazilian poetry.",,,,
Miroslav Krleza,Male,Croatia,Europe,"Zagreb, Croatia","Zagreb, Croatia",Croatian,1893,1981,On the Edge of Reason,Journey to Russia,,20th Century,"Miroslav Krleža was a Croatian writer who is widely considered to be the greatest Croatian writer of the 20th century. He wrote notable works in all the literary genres, including poetry, theater, short stories, novels, and an intimate diary.",,,,
Hans Fallada,Male,Germany,Europe,"Greifswald, Germany","Berlin, Germany",German,1893,1947,Alone in Berlin,The Drinker,,20th Century,"Hans Fallada was a prominent 20th century German writer, whose works belong predominantly to the New Objectivity literary style, associated with an emotionless reportage approach, with precision of detail, and a veneration for 'the fact'.",https://www.hammockmag.com/recommendations-lists/8-books-about-living-under-authoritarianism,Eight Books about Living Under Authoritarianism,Alone in Berlin,"Set in Berlin in 1940, Fallada’s masterwork is based on the true story of a couple who become dissidents to the Nazi regime. The novel follows the residents of one street during this trying time as the Gestapo try to discover who is behind the campaign of defiance, while exploring the themes of morality, paranoid societies and hope and humour in the darkest of times."
Joseph Roth,Male,Austria,Europe,"Lviv, Ukraine","Paris, France",German,1894,1939,The Radetzky March,Confession of a Murderer,,20th Century,"Moses Joseph Roth was an Austrian-Jewish journalist and novelist, best known for his family saga Radetzky March.",,,,
Louis-Ferdinand Celine,Male,France,Europe,"Paris, France","Paris, France",French,1894,1961,Journey to the End of the Night,Guignol's Band,Prix Goncourt,20th Century,"Louis Ferdinand Auguste Destouches, better known by the pen name Louis-Ferdinand Céline, was a French novelist, polemicist, and physician.",,,,
Aldous Huxley,Male,United Kingdom,Europe,"Surrey, UK","Los Angeles, USA",English,1894,1963,Brave New World,Eyeless in Gaza,,20th Century,"Aldous Leonard Huxley was an English writer and philosopher. His bibliography spans nearly 50 books, including non-fiction works, as well as essays, narratives, and poems.",,,,
Andre Breton,Male,France,Europe,"Normandy, France","Paris, France",French,1896,1966,Nadja,The Magnetic Fields,,20th Century,"André Robert Breton was a French writer and poet, the co-founder, leader, and principal theorist of surrealism. His writings include the first Surrealist Manifesto of 1924, in which he defined surrealism as ""pure psychic automatism"".",,,,
Eugenio Montale,Male,Italy,Europe,"Genoa, Italy","Milan, Italy",Italian,1896,1981,Cuttlefish Bones,The Occasions,Nobel Prize,20th Century,"Eugenio Montale was an Italian poet, prose writer, editor and translator, recipient of the 1975 Nobel Prize in Literature and one of the finest literary figures of the 20th century.",,,,
F. Scott Fitzgerald,Male,USA,North America,"St. Paul, USA","Princeton, USA",English,1896,1940,The Great Gatsby,Tender Is the Night,,20th Century,"Francis Scott Key Fitzgerald, widely known simply as Scott Fitzgerald, was an American novelist, essayist, and short story writer. He is best known for his novels depicting the flamboyance and excess of the Jazz Age, a term he popularized.",,,,
